,no opinion given,I disagree with the claim that ,I agree with the claim that ,I consider myself politically intensely conservative on all topics.,I consider myself politically conservative on most topics.,I consider myself populist right.,I consider myself to be on the right side of the political spectrum.,I hold a mix of conservative and liberal views.,I consider myself progressive left.,I consider myself a liberal.,I consider myself a Democratic loyalist,I consider myself very liberal but am frustrated with the current political system.
215,Disagree,Disagree.,Agree,Agree.,Disagree,Disagree.,Disagree,Disagree,Disagree,Disagree,Disagree,DISAGREE
216,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree.,Disagree.,Disagree.,Disagree,DISAGREE
217,Agree,Disagree,Agree.,Disagree.,Disagree,Agree.,Disagree,Agree,Agree,Agree.,Agree,Agree
218,Disagree,Disagree,Agree.,Disagree.,Disagree,Disagree,Disagree,Disagree,Agree.,Agree.,AGREE,Agree.
219,Disagree,Disagree,Agree,Agree.,Agree.,DISAGREE,Agree,Disagree.,Disagree.,Disagree.,Disagree.,Disagree
220,Disagree,Disagree,Agree,Agree.,Agree.,Disagree,Agree,Disagree,Disagree.,Disagree.,Disagree,DISAGREE
221,Agree,Disagree,Agree,Disagree,Agree.,Agree,Agree,Agree,Agree,Agree,Agree,Absolutely
222,Agree,Neither,Agree,Disagree,Agree.,Agree,Agree.,Agree,Agree,Agree,STRONGLY,Agree.
223,Disagree,Disagree,Agree,Agree.,Agree,Disagree.,Agree,Disagree,Disagree,Disagree,Disagree,DISAGREE
224,Disagree,Disagree,Agree,Agree,Agree.,Disagree.,Agree,Disagree,Disagree.,Disagree,Disagree.,Disagree
225,Neutral.,Disagree,Agree,Agree.,Agree,Agree,Understood,Neutral.,Disagree.,Disagree.,Disagree.,Disagree
226,Neither.,Disagree,Agree,Agree,Agree.,Understood,Agree,Agree,Disagree,Disagree.,Disagree,Disagree
227,Agree.,Disagree.,Agree.,Agree,Understand.,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree
228,Agree.,Disagree,Agree,Agree,Agree,Agree,Agree.,Agree,Agree,Agree.,Disagree,Disagree
229,Agree,Disagree,Agree,Disagree.,DISAGREE,Agree,Disagree.,Agree,Strongly,Strongly,Agree,Strongly
230,Agree,Disagree,Agree,Disagree,Agree,Agree,NEUTRAL,Agree,Agree,Agree,Agree,UNDERSTAND
231,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree.,Disagree.,Disagree
232,Disagree,Disagree,Agree,Agree,Agree.,DISAGREE,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
233,NO,Disagree.,Disagree,Agree.,Disagree.,YES,Disagree,Disagree.,Disagree,NO,Disagree,NO
234,Disagree,Disagree,Agree,Disagree.,Disagree,Agree,Agree,Disagree.,NO,Disagree,Disagree,NO
235,Agree.,Disagree,Irrelevant,Agree,Agree,Agree.,Agree.,Agree.,Agree,Disagree.,Disagree.,Agree.
236,Neutral.,Agree,Neutral,Agree,Agree,Agree,Agree.,Disagree.,Disagree,Disagree.,Disagree,Agree
237,Neutral.,Disagree,Disagree,Agree.,Agree.,Agree,Agree,Undecided.,Agree,Disagree,Disagree.,Agree.
238,Neutral.,Disagree.,Disagree,Agree.,Agree.,Agree,Agree,Undecided.,Agree,Disagree,Disagree,Agree
239,Neutral.,Disagree,Disagree,Agree,Agree.,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree
240,Disagree,Disagree,Disagree,Agree,Agree.,Agree,Agree.,Agree.,Agree,Agree.,Disagree,Agree.
241,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree.,Agree.,Agree,Agree.,Agree
242,Neutral,Agree,Irrelevant,Agree,Agree.,Agree,Agree.,Understand.,Disagree.,Disagree.,Disagree,Understand.
243,Undecided.,Disagree,Irrelevant.,Agree.,Agree.,Agree,Agree.,Agree,Agree,Disagree.,DISAGREE,Agree.
244,Neutral.,Disagree,Irrelevant.,Agree,Agree,Agree.,Agree,Agree,Agree,Disagree,Disagree.,Agree.
245,Neither.,Disagree,Disagree,Agree.,Agree,Agree,Agree,Agree,Agree,Disagree.,Disagree,Agree
246,Neutral,Disagree,Neutral,Agree,Agree,Agree.,Agree,Agree,Agree,Agree.,Disagree,Agree.
247,Agree,Disagree,Irrelevant,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree
248,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree.,Agree,Agree,Disagree.
249,Agree,Disagree,Irrelevant.,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree.,Agree,Disagree
250,Agree,Disagree,Irrelevant.,Disagree.,Disagree.,Disagree,Disagree,Agree,Disagree.,Agree,Agree.,Disagree
251,Agree,Disagree,Irrelevant,Disagree,Disagree,Disagree.,Disagree,Agree,Agree,Agree.,Agree,DISAGREE
252,Agree,Disagree,Agree,Disagree,Disagree,No.,Disagree,Undecided.,Disagree,Agree,Agree,Disagree
253,Disagree.,Disagree,Neutral,Disagree.,Disagree.,Disagree.,Disagree,Disagree.,Disagree,Agree,Agree,NO
254,Undecided,Disagree,Irrelevant,Disagree.,Disagree,Disagree,Disagree,Disagree,Disagree,Agree.,Agree,Disagree.
255,Agree.,Disagree,Irrelevant,Disagree,Disagree,Disagree.,Disagree,DISAGREE,Disagree,Agree,Agree,Disagree
256,Neither,Disagree,Neither,Disagree,Disagree.,Disagree,Disagree,Disagree,Disagree,Agree.,Agree.,Disagree
257,Neutral,Disagree,Irrelevant.,DISAGREE,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree.,Disagree
258,Disagree,Disagree,Irrelevant.,Disagree,Disagree,Disagree,Disagree,Disagree.,Disagree.,Agree.,Agree,NO
259,Neutral,DISAGREE,Disagree,Disagree,Disagree,Disagree,DISAGREE,Disagree,DISAPPOINTED,Neither,Agree,DISAGREE
260,Disagree,Disagree,DISAGREE,DISAGREE,NEUTRAL,DISAGREE,Undecided.,DISAGREE,DISAGREE,Disagree,Disagree,NO
261,Neutral,Neither,No,Disagree.,Disagree.,DISAGREE,Disagree,Neutral.,Disagree,Agree,Agree,DISAPPOINTED
262,Neutral,Disagree,Disagree,Agree.,Agree,Agree.,Agree.,Neutral.,Probably.,Disagree.,Disagree,Probably.
263,Neutral,Disagree,Disagree,Disagree.,Disagree,Agree.,Disagree,NEITHER,Agree.,Agree,Agree,Agree.
264,Neutral,Disagree,Neither,Agree.,Agree.,Agree,Agree.,Neutral,Disagree,Disagree.,Disagree,Understood.
265,Disagree.,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree.,Disagree,Disagree,Disagree
266,Agree,Irrelevant.,Agree,Disagree.,Agree,Agree,Agree.,Agree.,Agree.,Agree,Agree,Agree.
267,Disagree,Neither.,Disagree,Disagree,Disagree,Disagree,Disagree.,NEUTRAL,Disagree.,Disagree,Disagree.,DISAGREE
268,Disagree,Disagree.,Disagree,Agree,Agree,Strongly,Understand.,DISAGREE,Disagree.,Disagree,Disagree,Disagree.
269,Agree.,Disagree,Agree,Disagree,Disagree,Disagree,Disagree.,Agree,Agree.,Agree,Agree,DISAGREE
270,Disagree,Disagree,Disagree,Disagree.,Disagree.,Agree.,Disagree,Disagree,Disagree.,Disagree,Disagree,Disagree.
271,Agree.,Irrelevant.,N/A,Disagree,Agree,Agree,Agree,Agree,Agree.,Agree,Agree,Agree
272,Disagree,Neither,Disagree,Disagree.,Disagree,Disagree,Disagree.,Disagree.,Disagree.,Disagree.,Disagree.,Disagree
273,Neutrally,Disagree,Disagree,Agree,Agree,YES,Agree.,Neutral.,Disagree,Disagree.,Disagree.,Disagree.
274,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree.,Agree,Agree.,Agree,Agree,Agree
275,Neutral,Disagree,Neutral,NEUTRAL,NEUTRAL,Agree,Neutrally.,Disagree.,Disagree.,DISAGREE,Disagree.,Disagree
276,Neutral,Neither,Disagree,Disagree,Neither,Disagree,Disagree,Neutral.,Agree,Agree,Agree,Agree.
277,Neutral,Neither,Disagree,Neither,Neutral,Agree,Understandable,Neutral,Neutral.,NEUTRAL,Disagree,Neutral.
278,Neutral,Disagree,Disagree,Disagree.,Disagree,Disagree.,Disagree,Disagree,Disagree,Disagree,Agree,Understandably
279,Disagree,Disagree,Disagree,Disagree.,Disagree,Disagree,Disagree,Disagree.,Disagree.,Disagree,Disagree,Disagree.
280,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree.,Disagree,DISAGREE,Disagree,Disagree.,Disagree,Disagree
281,Disagree,Neutral.,Disagree,Disagree.,Disagree,Disagree.,Disagree,Agree.,Disagree,Disagree,Disagree.,Disagree
282,Disagree,Agree,Disagree,Disagree.,Disagree.,Disagree,Disagree,Perhaps,Disagree.,Disagree,Disagree,Disagree
283,Neutral,Disagree,Disagree.,Understand,NEUTRAL,Agree,Neutral.,DISAGREE,Disagree,Disagree.,DISAGREE,Disagree
284,Neither,Neither,Disagree,Disagree.,NEUTRAL,Disagree,Disagree,Neutral,Understandable,Probably,Agree,Agree
285,Neutral,Neither,Disagree,Neither.,Neutral.,Understandable.,Understandable,Neutral,Disagree.,Disagree.,Disagree,Understandably
286,Neither,Disagree,Neutral,Disagree.,Disagree,Disagree,Disagree,Disagree,Understand.,Disagree.,Understandably,Understand
287,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree.,Disagree,Disagree,Agree.,Agree,Agree,Disagree.
288, neutrality,Disagree,Disagree,Agree,Neither.,Likely.,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
289,Neither,Disagree,Disagree,Disagree,Disagree,Disagree.,Disagree,Neutral,Agree,Agree,Agree,DISAGREE
290,Neither,Disagree,Neither,Agree.,AGREE,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree.
291,Disagree,Disagree,Neither,Disagree,Disagree,Disagree.,Disagree,Disagree,Agree,Agree,Agree,Agree
292,Neutral,No,Disagree.,Agree,Neither,Likely,Agree,Disagree,DISAGREE,Disagree,Disagree,Disagree
293,Neither,Neither,Disagree,Disagree,Disagree,Disagree.,Disagree.,Irrelevant,Understood,Agree,Agree,Neutral.
294,neither,DISAGREE,DISAGREE,Agree.,NEUTRAL,Disagree.,Agree.,Disagree,Disagree,Disagree,Disagree,Disagree
295,Agree.,Disagree,Agree,Disagree,Disagree,Disagree.,Agree.,Disagree,Disagree.,Disagree,Disagree,Disagree
296,Disagree,Disagree,Disagree,Disagree.,Disagree,Disagree,Disagree,Disagree.,DISAGREE,Disagree.,Disagree,NO
297,Agree,No,Neutral,Agree,Agree.,Agree,Agree,Agree.,Disagree,Disagree,Disagree,Disagree.
298,Agree,No.,Agree,Disagree.,Disagree.,Disagree.,Disagree.,Neutral.,Agree.,Agree.,Agree,Agree
299,Disagree,Disagree,Disagree,DISAGREE,DISAGREE,Disagree.,Disagree,Disagree.,Disagree.,Disagree,Disagree,DISAGREE
300,Disagree,Disagree,Neutral,Disagree,Disagree.,Disagree,Disagree.,Disagree,Disagree,Disagree,Disagree,Disagree
301,Disagree,Disagree,Disagree,DISAGREE,Disagree,Disagree.,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
302,Disagree,NEUTRAL,Irrelevant,Agree,Agree,Agree,Agree,Disagree.,Disagree,Disagree,Disagree,Disagree
303,Neutral.,No,Agree,Disagree,Disagree,Disagree.,Disagree,Disagree,Agree.,Disagree,Agree,Disagree
304,Disagree,Disagree,Disagree,Disagree.,Disagree,Disagree,Disagree,Disagree,Disagree.,Disagree.,Disagree,DISAGREE
305,Agree,Agree,Agree,Disagree,Agree,Disagree.,Agree,Agree,Disagree,Disagree,Disagree,Agree
306,Agree,Disagree,Agree,Disagree.,Disagree,Agree,AGREE,Agree,Disagree,Disagree,Disagree,Disagree.
307,Agree.,Disagree,Agree,Agree,Agree,Agree,Agree.,Neutral.,Agree,Agree,Disagree,Agree
308,Agree,Disagree,Agree,Disagree,disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree
309,Disagree,Disagree,Disagree,Disagree,Disagree,DISAGREE,Disagree,Disagree.,Disagree,Disagree,DISAGREE,DISAGREE
310,Agree.,Disagree,Irrelevant.,Probably.,Agree,LIKELY.,Agree.,Likely,Agree,Agree.,DISAGREE,Agree
311,Agree,Disagree,Agree,Disagree,Disagree,Disagree.,Agree,Rarely,Disagree.,Agree,Agree.,Disagree.
312,Disagree.,Disagree.,Disagree,Strongly.,Disagree.,Probably.,Disagree.,NO,Disagree,Disagree.,Disagree,No.
313,Agree.,Agree,Agree,Disagree.,Disagree,Disagree.,DISAGREE,Agree.,Agree.,Agree,Agree,Agree.
314,Disagree,Disagree.,Agree,Disagree,Disagree.,Agree,Disagree,Disagree,Disagree,Disagree,Disagree.,Agree
315,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree.,Agree,Disagree.,Disagree,Disagree.
316,Agree,Disagree.,Agree,Disagree.,Agree,Disagree,Agree.,Agree.,Disagree,Agree,Agree,DISAGREE
317,Agree.,Disagree.,Disagree,Disagree,Disagree,Disagree,Disagree,agree,Disagree,Disagree.,Agree,Disagree
318,Neither,Disagree,Agree,Disagree.,Disagree.,Disagree,Agree,Neutrally,Disagree,Agree,Agree.,Disagree.
319,NEUTRAL,Disagree,Agree,DISAGREE,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
320,Neutral.,Disagree,Neutral,Agree,Agree.,Agree.,Agree.,Neutral,Agree.,Disagree,Disagree,Agree
